relative_time,AccX,AccY,AccZ,LinearAccelerometerSensor,BarometerSensor,CompassSensor
0,-8.314759368896485,-4.274660797119141,2.861748962402344,0.11258442337249973,985.7686614990234,2.501509666442871
24,-8.54827377319336,-4.116290130615234,2.776875457763672,0.050112102217801054,985.7686614990234,2.501509666442871
91,-8.432714080810547,-4.037853240966797,2.7714866638183597,0.030241824933463668,985.7809448242188,2.501509666442871
158,-8.466992797851564,-4.0859033203125,2.794838104248047,0.00886577949494724,985.7809448242188,2.501509666442871
224,-8.661288757324218,-3.980073394775391,2.9080027770996093,0.06294174176766443,985.7809448242188,2.501509666442871
291,-10.714568939208984,-3.9303767395019533,3.0590386962890626,0.5279919513034612,985.7809448242188,2.501509666442871
358,-6.821913757324219,-4.240082702636719,2.855911102294922,0.8457935465248865,985.7809448242188,5.27508544921875
424,-8.01223846435547,-5.436394958496094,2.9786558532714844,0.32967679549503764,985.7809448242188,5.27508544921875
492,-9.535321197509766,-2.206860809326172,0.3141966247558594,1.0625148732597332,985.7809448242188,2.083779811859131
558,-5.4354968261718755,-4.493206329345703,2.7080186462402347,1.0926170529904804,985.7809448242188,359.4425354003906
624,-1.9387683105468752,-5.395230560302735,-1.270557861328125,1.419318980732547,985.7809448242188,356.1091003417969
692,-5.474415893554688,-17.984800415039064,1.7800982666015626,3.626677868499477,985.7809448242188,250.13853454589844
758,-2.2656884765625,-7.425758056640626,1.9784358215332032,1.8818287234279183,985.7809448242188,249.1856231689453
825,-1.102756805419922,-8.300089874267579,-2.400857391357422,1.1455556201818904,985.7809448242188,246.5082244873047
891,-3.3891023254394534,-9.344318389892578,-2.2529649353027343,0.521153432987379,985.7809448242188,248.87416076660156
958,-3.386856994628906,-10.394684143066407,-3.7685632324218754,0.5345362859816578,985.7809448242188,246.809814453125
1024,1.858385467529297,-7.188950500488281,2.8470794677734377,2.0939380324680443,985.7856750488281,243.4325408935547
1092,-2.3846910095214846,-8.444988555908203,-0.7506889343261719,0.9578730567103949,985.7856750488281,239.18930053710938
1158,-5.063969421386719,-9.528585205078125,-0.4105961608886719,0.9026382853368243,985.7856750488281,239.18930053710938
1224,-1.2805870056152344,-9.767787780761719,1.7260606384277344,0.8430700644070711,985.7856750488281,244.3377685546875
1292,-1.3551319885253907,-9.84637435913086,-0.16660354614257813,0.3071015558614072,985.7856750488281,243.3135528564453
1358,-2.5930577087402344,-9.56900115966797,-0.1047821044921875,0.27880791068958755,985.7856750488281,241.9685516357422
1427,-1.7622853088378907,-9.412576446533203,-0.34368530273437503,0.16659726900376678,985.7856750488281,240.89932250976562
1492,-1.6435821533203125,-9.849667510986329,-0.51492919921875,0.13075333764495753,985.7856750488281,238.7343292236328
1558,-1.1192225646972658,-9.970615997314454,-0.1573228454589844,0.17361524501403675,985.7856750488281,237.6901092529297
1624,-1.234482879638672,-9.56466018676758,-0.5477110290527344,0.15160659275212185,985.7856750488281,235.07151794433594
1691,-0.8316705322265625,-9.666149139404297,-0.29758117675781254,0.1277629619961625,985.7856750488281,233.50953674316406
1758,-0.5457650756835938,-9.217382354736328,1.406924285888672,0.46899411066066116,985.7856750488281,233.50953674316406
1824,-1.2769944763183594,-9.418563995361328,-0.2591111755371094,0.34467313260876453,985.7856750488281,233.50953674316406
1891,-0.8265811157226562,-10.03947280883789,-0.10523117065429688,0.18062950098640615,985.7856750488281,233.50953674316406
1958,-1.1972103881835938,-9.818681945800781,-0.173638916015625,0.08042114763617295,985.7856750488281,233.50953674316406
2024,-1.653760986328125,-9.732760620117189,0.14459930419921876,0.15353769839006237,985.7911682128906,233.50953674316406
2091,-1.5064672851562502,-9.511221313476563,-0.12978012084960938,0.07972283225763743,985.7911682128906,234.52166748046875
2158,-1.5503260803222656,-9.408834228515625,-0.025896148681640627,0.044302788565086085,985.7911682128906,234.52166748046875
2224,-1.6307089233398437,-9.838141479492188,-0.09041198730468751,0.10048668362311136,985.7911682128906,234.52166748046875
2291,-1.5531701660156252,-9.958790588378907,-0.38215530395507813,0.09459008990950077,985.7911682128906,234.52166748046875
2358,-1.1126362609863283,-9.900262298583986,-0.06616241455078126,0.12842992168225684,985.7911682128906,234.52166748046875
2424,-1.0777587890625,-9.308243408203126,-0.31524444580078126,0.15998071278215592,985.7911682128906,234.52166748046875
2492,-1.5624508666992187,-9.640103302001954,-0.30267059326171875,0.12125435160963077,985.7911682128906,234.52166748046875
2558,-1.8250048828125,-9.37455551147461,-0.3180885314941406,0.10869626749482705,985.7911682128906,234.52166748046875
2624,-1.444047088623047,-9.848919067382813,-0.18112335205078126,0.13125660175491424,985.7911682128906,234.52166748046875
2691,-1.452279968261719,-9.768236846923829,-0.24908203125,0.018850039315347716,985.7911682128906,234.52166748046875
2758,-1.4792239379882812,-9.687704315185547,-0.06062393188476563,0.04617105701494481,985.7911682128906,234.52166748046875
2824,-1.645228729248047,-9.678872680664062,-0.16929794311523438,0.045356166256816446,985.7911682128906,235.6251678466797
2892,-1.5515235900878908,-9.560768280029297,0.002544708251953125,0.0450192870679267,985.7911682128906,235.6251678466797
2958,-1.5452366638183594,-9.58441909790039,-0.24998016357421876,0.05470815184326621,985.7952117919922,235.6251678466797
3024,-1.6341517639160157,-9.37365737915039,-0.11211685180664063,0.06293220674600809,985.7952117919922,235.6251678466797
3092,-2.112257537841797,-10.247091064453125,-0.4132905578613281,0.24903844824380114,985.7952117919922,235.6251678466797
3158,-1.1811936950683595,-9.585466918945313,-0.20731887817382813,0.2339804875442391,985.7952117919922,235.6251678466797
3224,-1.324146423339844,-9.35255126953125,-0.32183074951171875,0.09038350457788319,985.7952117919922,235.6251678466797
3292,-1.952839050292969,-10.087223510742188,-0.22707778930664063,0.22386960417831694,985.7952117919922,235.6251678466797
3358,-2.388582916259766,-9.616153106689454,-0.338895263671875,0.16790378971577796,985.7952117919922,235.6251678466797
3424,-1.5982264709472658,-9.515711975097657,-0.05703140258789063,0.178922440098708,985.7952117919922,235.6251678466797
3491,-1.9693048095703125,-9.549092559814454,-0.16555572509765626,0.05637385606312047,985.7952117919922,235.6251678466797
3558,-2.0450473022460938,-9.601034545898438,-0.15777191162109375,0.034895918416766654,985.7952117919922,235.6251678466797
3624,-1.8769468688964845,-9.551337890625,-0.03188369750976563,0.04829943351593911,985.7952117919922,235.6251678466797
3691,-2.2900877380371094,-9.691147155761719,0.4465214538574219,0.16246148912545583,985.7952117919922,234.4764862060547
3758,-3.0638287353515627,-9.605674896240235,0.4903802490234375,0.22172815232214563,985.7952117919922,234.4764862060547
3824,-3.4155972290039065,-9.466614074707032,1.114881591796875,0.2225275290244428,985.7952117919922,233.4412384033203
3892,-3.0787976074218752,-9.385333099365235,1.9387683105468752,0.2541747987641499,985.7952117919922,229.70591735839844
3958,-2.9139903259277347,-9.360484771728515,1.6628919982910157,0.0555352014429729,985.7952117919922,227.6094207763672
4024,-2.908601531982422,-9.096134490966797,2.404749298095703,0.19696020283593457,985.7952117919922,224.30557250976562
4092,-3.922592926025391,-8.757388916015625,2.330054626464844,0.2712424056718214,985.7952117919922,219.41598510742188
4158,-3.3964370727539066,-8.372389526367188,3.1377749633789063,0.2513422078413263,985.7952117919922,215.48306274414062
4224,-1.5859519958496096,-8.5981201171875,3.7571868896484375,0.5141390669295114,985.7952117919922,208.2919921875
4291,-2.4765998840332033,-7.509134674072266,4.3031016540527345,0.3422290192553847,985.7952117919922,204.30953979492188
4358,-2.8195367431640626,-8.126151580810546,5.925877075195313,0.47460359963071463,985.7952117919922,202.7235107421875
4424,-2.4634272766113283,-6.578968963623047,4.490062866210938,0.4441093803714923,985.7952117919922,199.42025756835938
4491,-0.602347412109375,-7.390431518554688,5.834117889404297,0.564589286537666,985.7952117919922,196.26324462890625
4558,-2.478695526123047,-8.241561584472656,7.272626495361329,0.6025946497038863,985.7952117919922,195.15928649902344
4624,-2.844983825683594,-13.237572326660157,3.1201116943359377,1.6164133244371384,985.7952117919922,198.44456481933594
4691,1.3789324951171875,-3.1400202941894535,-1.3223501586914064,2.766689875247326,985.7952117919922,204.0203857421875
4758,-2.7436445617675784,-13.784085845947267,-1.8851797485351562,2.1051437467353993,985.7952117919922,209.72459411621094
4824,-3.945944366455078,-7.961044921875001,0.5321434020996094,1.0337673035149042,985.7945251464844,221.5078887939453
4891,-5.732628936767578,-7.5276960754394535,-0.9695338439941407,0.6928283088564094,985.7945251464844,225.63943481445312
4968,-3.4335598754882812,-8.292455749511719,-0.3990701293945313,0.45443661232128846,985.7945251464844,225.63943481445312
5024,-2.3474185180664064,-8.377778320312501,-1.0936257934570313,0.4126622624526632,985.7945251464844,227.28118896484375
5091,-2.4306454467773437,-9.16424285888672,-0.5053491210937501,0.2470869814838837,985.7945251464844,230.3498992919922
5158,-6.065536651611328,-10.810968475341797,-0.0532891845703125,1.0249142123660022,985.7945251464844,232.24098205566406
5224,-10.480605468750001,-12.806468811035156,2.898722076416016,1.630999368420703,985.7945251464844,234.6980743408203
5291,-5.776038665771485,-12.09095672607422,-0.1722917175292969,1.0288060036465325,985.7945251464844,229.82579040527344
5358,-3.58055419921875,-19.71295669555664,-2.461631011962891,2.206604488923741,985.7945251464844,221.43006896972656
5424,-1.5461347961425782,-9.754016418457033,0.6255491638183595,2.236344211832704,985.7945251464844,210.0232696533203
5491,-2.1742286682128906,-7.504194946289063,-0.5405259704589844,1.073429159795684,985.7945251464844,203.87857055664062
5558,0.30386810302734374,-5.987399139404297,1.5628999328613282,1.0253565104515505,985.7945251464844,196.476318359375
5624,-0.858464813232422,0.20402572631835938,4.037553863525391,1.8684208472571056,985.7945251464844,339.7831115722656
5691,-2.3412812805175784,-2.009271697998047,7.7778259277343755,1.1980360764987374,985.7945251464844,337.85760498046875
5758,-1.3744418334960937,-7.510631561279297,12.132570190429687,1.9679271266697815,985.7945251464844,334.7661437988281
5824,0.7327262878417969,-15.81326614379883,-4.0707847595214846,4.467863411164835,985.7945251464844,182.74276733398438
5891,-2.9322523498535156,-3.1293923950195315,2.0549267578125,5.68148092823886,985.7945251464844,195.62782287597656
5958,-5.420677642822266,-15.396532745361329,1.1587403869628907,2.0210662693108734,985.7945251464844,205.22955322265625
6024,-9.969268798828125,-18.485958251953125,-3.304827575683594,2.1435479267244903,985.7945251464844,217.39280700683594
