relative_time,AccX,AccY,AccZ
0,-1.2377760314941406,10.098599853515626,1.9805314636230469
12,-1.3166619873046876,10.063273315429688,1.7854870605468751
79,-1.2314891052246095,9.443262634277344,2.0386106872558596
152,-1.2388238525390625,9.435478820800782,1.9152671813964846
214,-1.2970527648925783,9.328152008056641,1.9486477661132813
279,-1.3468991088867188,9.199569396972656,1.9205062866210938
353,-1.2976515197753906,8.940458221435547,2.1415965270996096
412,-1.1633807373046876,9.068142700195313,2.322270812988281
479,-1.247655487060547,8.838220825195313,2.4897724914550783
553,-1.8480569458007814,8.660240936279298,2.1273760986328125
614,-1.9637663269042969,9.339228973388673,2.8291168212890625
679,-2.4275019836425784,9.009315032958984,3.134032745361328
750,-2.6086253356933593,8.922944641113281,3.297642517089844
812,-3.3675471496582032,8.741372222900392,4.175117797851563
879,-3.3663496398925785,9.271270294189454,4.6111610412597654
950,-3.839365997314453,8.148155822753907,4.3613305664062505
1012,-3.736380157470703,8.294701080322266,5.197042694091797
1079,-3.934717712402344,7.977660369873047,5.249134368896485
1150,-4.898862762451172,7.750283203125,4.708758087158204
1212,-5.422922973632812,7.334747314453125,4.362827453613281
1279,-5.286556549072266,7.744445343017579,4.700375518798828
1350,-4.550537109375,7.688611450195313,3.7787420654296877
1412,-5.201982421875,5.983956298828125,-1.5513739013671877
1479,-5.606591033935548,8.302185516357422,1.0768606567382812
1551,-4.534370727539063,7.6808276367187505,1.2620256042480469
1612,-2.946921844482422,6.9323840332031255,-0.6652166748046875
1679,-5.225483551025391,6.840325469970703,0.3842509460449219
1751,-1.0809022521972658,13.058245239257813,-4.055516510009766
1814,-3.3187486267089845,13.454770660400392,5.483846282958985
1879,0.6159690856933594,3.5739678955078125,-1.6982185363769533
1950,-0.9797126770019532,4.024231567382813,-2.2037173461914064
2012,-2.719245300292969,10.230924682617188,0.9446855163574219
2078,-2.607876892089844,11.22111557006836,0.22632934570312502
2150,-1.3787828063964844,12.403357086181641,-1.0353968811035157
2213,-2.283202056884766,12.320579223632814,-1.4329701232910157
2279,-2.8030709838867187,11.694281616210938,-0.4915777587890625
2350,-1.0922785949707032,9.22127426147461,-0.6721023559570313
2418,-1.1042536926269533,8.914562072753906,-2.485431518554688
2479,-0.899180145263672,7.284002838134766,-1.1394305419921875
2550,-0.6265969848632813,12.372371520996094,0.51013916015625
2612,-3.5687287902832034,22.219943389892578,-2.0011885070800783
2679,-0.3384461975097656,7.881859588623048,-1.4855108642578125
2750,0.36000137329101567,0.27991790771484376,-0.7119195556640625
2812,-1.182989959716797,14.813794555664064,-0.530496826171875
2879,-0.4125421142578125,10.435698852539064,-1.2126283264160156
2950,-0.7972421264648438,9.932445373535156,-0.7331753540039063
