relative_time,AccX,AccY,AccZ,BarometerSensor
0,-3.121608581542969,-2.5092320251464844,8.787626037597656,985.3410339355469
64,-2.9196784973144534,-2.6312283325195316,8.748407592773438,985.3410339355469
134,-2.707419891357422,-2.665207672119141,8.997339935302735,985.3410339355469
198,-2.877316589355469,-2.5331822204589844,8.984017639160157,985.3410339355469
264,-2.9150381469726563,-2.6191035461425782,8.982071685791016,985.3410339355469
334,-2.9198281860351565,-2.678380279541016,8.904981994628907,985.3413391113281
397,-2.9033624267578126,-2.5722509765625,8.976533203125001,985.3413391113281
464,-2.9295579528808595,-2.6575735473632816,9.018146667480469,985.3413391113281
535,-2.8599526977539065,-2.5364753723144533,8.793912963867188,985.3413391113281
598,-2.8373497009277346,-2.5222549438476562,8.938811645507814,985.3413391113281
664,-2.9353958129882813,-2.025887145996094,9.311686248779298,985.3413391113281
732,-2.9460237121582034,-2.3743624877929688,8.667126617431641,985.3413391113281
797,-2.6830206298828125,-3.455713806152344,9.248517608642578,985.3413391113281
864,-2.6159600830078125,-1.2496014404296876,7.886649627685547,985.3413391113281
937,-3.0460157775878907,-2.6665548706054687,9.766739959716798,985.3413391113281
998,-2.3917263793945316,-2.3770568847656253,8.917256469726563,985.3413391113281
1064,-1.9166143798828126,-2.954256591796875,7.428452453613281,985.3413391113281
1135,-1.7655784606933596,-3.934717712402344,7.0221972656250005,985.3413391113281
1198,-3.504811706542969,-4.502337341308594,6.357729034423828,985.3413391113281
1264,-8.334967346191407,-7.558831329345703,4.928501129150391,985.3438568115234
1336,-2.4542962646484376,-11.986174621582032,1.4618600463867188,985.3438568115234
1398,-0.5492079162597656,-10.018965454101563,0.858614501953125,985.3438568115234
1464,-7.1385054016113285,-10.821596374511719,-3.3403038024902347,985.3438568115234
1535,-6.866371307373047,-10.842552795410157,1.8345849609375,985.3438568115234
1598,0.9635462951660156,-2.489173736572266,3.7151243591308596,985.3438568115234
1664,0.12109817504882812,-6.4182032775878906,-4.938230895996094,985.3438568115234
1735,1.2017010498046876,-6.479575653076172,0.7661068725585938,985.3438568115234
1798,-3.8564305114746094,-13.28996337890625,0.3703298950195313,985.3438568115234
1864,-5.419929199218751,-6.897656250000001,4.147275695800781,985.3438568115234
1934,-4.983287200927735,-2.8229795837402345,3.966900787353516,985.3438568115234
1998,-4.413272552490235,-10.545570373535156,3.100951538085938,985.3438568115234
2064,-3.4992732238769535,-9.063652038574219,1.6389418029785157,985.3438568115234
2137,-5.36529281616211,-8.368497619628906,2.3511607360839846,985.3438568115234
2198,-6.479575653076172,-6.331383819580078,2.0172052001953125,985.3520202636719
2264,-8.448431396484375,-7.797435150146485,1.469045104980469,985.3520202636719
2337,-6.971752166748047,-6.472989349365235,0.07828720092773438,985.3520202636719
2398,-6.839427337646485,-7.136260070800781,-1.743274841308594,985.3520202636719
2464,-6.4129641723632815,-8.284222869873048,1.4615606689453127,985.3520202636719
2538,-5.598807220458984,-9.647138671875,-1.3897100830078126,985.3520202636719
2597,-6.980883178710938,-6.097869415283204,0.3100053405761719,985.3520202636719
2664,-7.67409164428711,-5.416785736083985,0.4317022705078125,985.3520202636719
2734,-7.870333557128907,-5.741759948730469,0.37392242431640627,985.3520202636719
2798,-8.702303466796875,-6.59348876953125,0.5319937133789063,985.3520202636719
2864,-7.306306457519532,-6.364914093017578,0.06271957397460938,985.3520202636719
2935,-6.79946044921875,-6.917115783691407,0.11121871948242187,985.3520202636719
2998,-7.529192962646484,-6.49289794921875,0.3261717224121094,985.3520202636719
3064,-7.538623352050782,-6.109096069335938,0.15073654174804688,985.3520202636719
3138,-7.371421051025391,-6.482270050048829,0.288599853515625,985.3533935546875
3198,-7.3567515563964845,-6.536307678222657,0.21510269165039064,985.3533935546875
3264,-7.182064819335938,-6.5925906372070315,0.20372634887695312,985.3533935546875
3335,-7.226222991943359,-6.5590603637695315,0.29728179931640625,985.3533935546875
3398,-7.270680541992188,-6.568041687011719,0.21195922851562501,985.3533935546875
3464,-7.3268138122558595,-6.469546508789063,0.159268798828125,985.3533935546875
3536,-7.381300506591797,-6.508615264892579,0.2233355712890625,985.3533935546875
3597,-7.4095916748046875,-6.385271759033204,0.33185989379882813,985.3533935546875
3664,-7.494914245605469,-6.22944580078125,0.3941304016113281,985.3533935546875
3737,-7.399412841796876,-6.2596829223632815,0.3538641357421875,985.3533935546875
3798,-7.4449182128906255,-6.400989074707032,0.37122802734375004,985.3533935546875
3864,-7.475754089355469,-6.109844512939453,0.42571472167968755,985.3533935546875
3937,-7.537276153564454,-5.788313140869141,0.47196853637695313,985.3533935546875
