relative_time,AccX,AccY,AccZ
0,1.229842529296875,9.707313537597656,0.5272036743164062
65,1.4509327697753907,9.163644104003907,0.6077362060546875
136,2.0550764465332034,9.814939727783203,1.0184820556640626
198,2.8386968994140624,10.196196899414064,1.2425660705566406
265,1.554217987060547,10.16251693725586,1.8628761291503908
336,2.874173126220703,7.9082048034667976,2.441722412109375
398,3.350482635498047,8.181087341308594,2.682272186279297
465,4.075574798583984,8.137228546142579,2.974165191650391
537,4.407883758544922,7.802973632812501,3.0130842590332034
598,5.1712962341308595,8.217012634277344,3.4407449340820313
665,5.9920394897460945,8.043673095703125,4.071084136962891
740,2.8740234375,12.123439178466798,2.149080963134766
800,1.3046868896484376,8.538394317626954,0.30910720825195315
865,0.17408798217773438,12.233161010742188,1.1142828369140625
936,0.18456619262695315,8.493936767578125,1.4289285278320314
1001,0.13172607421875002,9.937085723876953,1.5862513732910157
1065,1.2835807800292969,8.583151245117188,1.3910572814941407
1138,1.4826667785644532,9.025032348632813,1.5711328125000001
1200,2.1439915466308594,8.634494476318359,1.2973521423339844
1265,0.377215576171875,8.55830291748047,2.0206480407714844
1337,0.049846343994140625,8.93192596435547,1.184337158203125
1398,0.844244384765625,11.596085815429689,4.024830322265625
1465,3.0588890075683595,10.810968475341797,-0.4129911804199219
1536,-2.1179457092285157,11.370504913330079,3.4160462951660158
1598,2.7749295043945312,12.6696533203125,-0.3757186889648438
1665,2.07169189453125,8.584797821044923,1.6054115295410156
1760,0.9636959838867188,5.672304382324219,2.1143531799316406
1798,0.9854008483886719,4.375101928710937,2.9232710266113284
1865,5.360353088378907,7.151378631591797,2.8638446044921877
1940,5.109474792480469,11.010802917480468,5.404810638427735
2000,4.670437774658203,14.49031723022461,2.15312255859375
2065,0.01107696533203125,12.48044677734375,0.6770420837402344
2136,-1.7332456970214845,9.360933837890625,-0.15043716430664064
2198,1.525477752685547,10.208770751953125,1.751657409667969
2265,-0.7765850830078126,9.164392547607422,1.0470726013183593
